                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.963,                  2.589,                 1.3467,                0.00483,                0.80556,                0.33171,                  0.223,                 0.6849,                 2.9295,                 1.1076,                  8e-05,                  8e-05,                  8e-05
                      2,                0.98585,                 2.4324,                  1.399,                  0.005,                0.83333,                0.44388,                0.33179,                0.70657,                 2.8999,                 1.1317,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.0223,                 1.8607,                 1.3852,                      1,                0.08198,                0.51436,                 0.3376,                0.88081,                 2.8276,                 1.2897,             0.00026891,             0.00026891,             0.00026891
                      4,                0.94806,                  1.646,                 1.3169,                      1,                0.08844,                0.35868,                0.22961,                0.98874,                 2.9617,                 1.4161,             0.00035743,             0.00035743,             0.00035743
                      5,                0.89687,                  1.544,                 1.3145,                0.47135,                0.44444,                0.40177,                0.25093,                 1.0267,                 2.8912,                 1.4003,             0.00044198,             0.00044198,             0.00044198
                      6,                0.89617,                 1.6061,                 1.3274,                0.76645,                0.13889,                 0.3527,                0.20216,                   1.28,                 2.9117,                 1.5805,             0.00052258,             0.00052258,             0.00052258
                      7,                0.91107,                 1.5267,                 1.2737,                 0.2366,                0.33333,                0.22313,                0.11829,                 1.3929,                 2.8173,                 1.8052,             0.00059922,             0.00059922,             0.00059922
                      8,                0.96453,                 1.6075,                  1.327,                0.20586,                0.30248,                0.19198,                0.10819,                 1.5077,                 2.8399,                 1.9392,             0.00067189,             0.00067189,             0.00067189
                      9,                0.95479,                 1.5756,                 1.3318,                0.24801,                0.30556,                  0.216,                0.09978,                 1.6391,                 2.8777,                 2.1663,             0.00074061,             0.00074061,             0.00074061
                     10,                 1.0106,                 1.5792,                 1.3739,                 0.5329,                0.30556,                0.35928,                0.15681,                 1.4637,                 2.7976,                 2.0032,             0.00080536,             0.00080536,             0.00080536
                     11,                0.95391,                 1.5573,                 1.3712,                 0.4701,                0.46832,                0.43164,                0.20688,                 1.5017,                 2.7104,                 2.0459,             0.00086616,             0.00086616,             0.00086616
                     12,                0.99533,                 1.4869,                 1.3304,                0.21045,                0.38889,                0.20915,                0.11227,                 1.7378,                  2.883,                  2.144,               0.000923,               0.000923,               0.000923
                     13,                  0.979,                 1.4007,                 1.3503,                0.24912,                0.36111,                 0.1988,                0.10138,                 1.7377,                 2.8435,                  2.094,             0.00097587,             0.00097587,             0.00097587
                     14,                 1.0641,                 1.4355,                 1.3627,                0.52223,                0.38889,                0.43108,                0.17672,                 1.5744,                 2.5612,                 2.0678,              0.0010248,              0.0010248,              0.0010248
                     15,                 0.9956,                 1.4224,                 1.3498,                 0.7356,                0.47222,                0.50316,                0.25517,                 1.4528,                 2.6052,                 1.8711,              0.0010697,              0.0010697,              0.0010697
                     16,                0.90623,                 1.3801,                 1.3151,                0.79818,                0.44444,                0.52681,                0.30276,                  1.366,                 2.3495,                 1.8068,              0.0011107,              0.0011107,              0.0011107
                     17,                 1.0303,                 1.4276,                 1.3453,                0.65126,                0.51895,                0.49334,                0.27212,                 1.3893,                 2.2754,                 2.0086,              0.0011478,              0.0011478,              0.0011478
                     18,                0.98514,                 1.4621,                 1.4047,                0.66383,                0.44444,                0.48486,                0.28879,                 1.3656,                 2.2836,                 2.1002,              0.0011809,              0.0011809,              0.0011809
                     19,                0.97593,                 1.4875,                 1.3477,                0.64358,                0.52778,                0.50436,                0.25944,                 1.3624,                 2.4976,                 2.0456,                0.00121,                0.00121,                0.00121
                     20,                 1.0259,                 1.5456,                 1.3659,                0.34079,                0.41667,                0.32908,                0.17186,                 1.5476,                 2.7582,                 1.9629,              0.0012351,              0.0012351,              0.0012351
                     21,                 0.9989,                 1.3699,                 1.3779,                0.32228,                0.44444,                0.29317,                0.16207,                 1.6411,                 2.7717,                 2.0467,               0.001208,               0.001208,               0.001208
                     22,                0.96951,                 1.3358,                 1.3112,                0.49745,                0.30258,                 0.2319,                0.11103,                 1.6869,                 2.7744,                 2.1297,               0.001208,               0.001208,               0.001208
                     23,                 1.0194,                 1.4439,                 1.3649,                0.33897,                0.30556,                0.19718,                 0.0716,                 2.0146,                 2.9621,                 2.5571,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0256,                 1.4187,                 1.4212,                0.31304,                0.19444,                0.14307,                0.04307,                 2.3004,                 3.0578,                 2.9027,              0.0011288,              0.0011288,              0.0011288
